comment,time,phase,baro,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,5.0500757694244385,land,1009.5980657747014,36.11187366666667,140.0980195,-1,-1,-1,,-1
threading,8.05396580696106,land,1009.5525817995393,36.11186883333333,140.098016,-1,-1,-1,,-1
threading,11.055972576141357,land,1009.4552149178002,36.11186166666667,140.09800483333333,-1,-1,-1,,-1
threading,14.05961799621582,land,1009.5148008029988,36.11184516666667,140.09804516666668,-1,-1,-1,,-1
threading,17.063292503356934,land,1009.4507435208653,36.111822833333335,140.09808016666668,-1,-1,-1,,-1
threading,20.065542221069336,land,1009.3808946855847,36.111801166666666,140.0981115,-1,-1,-1,,-1
threading,23.0693097114563,land,1009.4141939386511,36.111782166666664,140.09813933333334,-1,-1,-1,,-1
threading,26.070409536361694,land,1009.4461427340678,36.111758333333334,140.09815466666666,-1,-1,-1,,-1
threading,29.07412576675415,land,1009.5055167563734,36.111747333333334,140.09815833333334,-1,-1,-1,,-1
threading,32.07780981063843,land,1009.4071779156452,36.11175016666667,140.09815266666666,-1,-1,-1,,-1
threading,35.081453800201416,land,1009.4330771431851,36.111748166666665,140.09815433333333,-1,-1,-1,,-1
threading,38.08327102661133,land,1009.4216661568466,36.1117475,140.0981535,-1,-1,-1,,-1
threading,41.08684468269348,land,1009.4454080263073,36.11174616666667,140.098155,-1,-1,-1,,-1
threading,44.090636253356934,land,1009.4208106278395,36.11174416666667,140.09815483333333,-1,-1,-1,,-1
threading,47.09435176849365,land,1009.5690332156379,36.11174583333333,140.09815133333333,-1,-1,-1,,-1
threading,50.09543442726135,land,1009.5690332156379,36.111747333333334,140.0981505,-1,-1,-1,,-1
threading,53.096320152282715,deployment,1009.5690332156379,36.1117475,140.09815033333334,-1,-1,-1,,-1
threading,56.09997224807739,deployment,1009.5690332156379,36.11175,140.09814983333334,-1,-1,-1,,-1
open,57.035250425338745,deployment,1009.5690332156379,36.11175083333333,140.09815,-1,-1,-1,,1194.246530532837
threading,59.10341501235962,deployment,1009.5690332156379,36.1117515,140.0981515,0,0,-1,,1194.246530532837
threading,62.106900215148926,deployment,1009.5690332156379,36.11175216666667,140.098155,0,0,110.47170985574405,,1194.246530532837
threading,65.11061000823975,deployment,1009.5690332156379,36.11175133333333,140.09815766666668,0,0,110.47170985574405,,1194.246530532837
threading,68.1135504245758,deployment,1009.5690332156379,36.1117595,140.098158,50,50,110.47170985574405,,1194.246530532837
threading,71.11682200431824,deployment,1009.5690332156379,36.11177583333333,140.09815333333333,0,0,282.74207177694666,,1194.246530532837
threading,74.11947798728943,deployment,1009.5690332156379,36.111787166666666,140.09814783333334,0,0,298.10998625583295,,1194.246530532837
deployment,76.59492444992065,deployment,1009.5690332156379,36.11178733333333,140.09814783333334,0,0,249.4780433018119,,1194.246530532837
threading,77.12327647209167,gps,1009.5690332156379,36.111787166666666,140.0981475,46.176153287190346,53.823846712809654,100.30339133113881,,1194.246530532837
threading,80.1269953250885,gps,1009.5690332156379,36.111813166666664,140.09812616666667,53.323957752734955,46.676042247265045,124.75452375573173,,1194.246530532837
threading,83.13072848320007,gps,1009.5690332156379,36.111842833333334,140.09810166666668,52.80497514166055,47.19502485833945,128.25385747409706,,1194.246530532837
threading,86.13301587104797,gps,1009.5690332156379,36.11187533333333,140.09807766666665,43.99728990684877,36.00271009315123,109.38386047358165,,1194.246530532837
threading,89.13682913780212,gps,1009.5690332156379,36.11190166666667,140.09807116666667,0,0,177.65653124520236,,1194.246530532837
threading,92.13947772979736,camera,1009.5690332156379,36.111901833333334,140.09807533333333,0,0,197.41191863425416,,1194.246530532837
threading,95.14319849014282,camera,1009.5690332156379,36.11190333333333,140.09807533333333,0,0,200.6742529997111,,1194.246530532837
threading,98.14565420150757,camera,1009.5690332156379,36.111905166666666,140.09807333333333,0,0,233.4963540733113,,1194.246530532837
threading,101.14953660964966,camera,1009.5690332156379,36.11190783333333,140.0980705,0,0,237.9691471299161,,1194.246530532837
threading,104.15324783325195,camera,1009.5690332156379,36.11190916666666,140.09806866666668,5,5,269.7051042718176,,1194.246530532837
threading,107.15694952011108,camera,1009.5690332156379,36.11191183333333,140.0980675,0,0,289.5315104880079,,1194.246530532837
threading,110.16091966629028,camera,1009.5690332156379,36.111914666666664,140.0980665,0,0,302.65895841546273,,1194.246530532837
threading,113.16511750221252,camera,1009.5690332156379,36.111916666666666,140.09806433333333,0,0,0.42059144058215736,,1194.246530532837
threading,116.1671507358551,camera,1009.5690332156379,36.11191633333333,140.09806333333333,0,0,330.62075010107077,,1194.246530532837
threading,119.1709508895874,camera,1009.5690332156379,36.1119175,140.09806,0,0,25.816201717655105,,1194.246530532837
threading,122.17467641830444,camera,1009.5690332156379,36.11191783333334,140.09805933333334,0,0,338.7356521972356,,1194.246530532837
threading,125.17842555046082,camera,1009.5690332156379,36.111917,140.09806066666667,0,0,337.47224050179113,,1194.246530532837
threading,128.18222832679749,camera,1009.5690332156379,36.111916,140.09805766666668,0,0,336.23580400116606,,1194.246530532837
threading,131.1861538887024,camera,1009.5690332156379,36.11191516666667,140.09805666666668,0,0,12.379289226916043,,1194.246530532837
