Time [s],Velocity [m/s^2]
15.049523115158081,1.2444345900355651
15.15645956993103,1.257817040742103
15.263410329818726,1.3272118678027343
15.370288610458374,1.8212276061995047
15.477145671844482,2.6983516495922375
15.584052562713623,3.5807501679941742
15.690893650054932,4.406934330490215
15.797779560089111,5.064906305463597
15.904640913009644,5.281555319488735
16.011590242385864,4.977296700151951
16.11844515800476,4.864591155014777
16.225305318832397,5.009203200805988
16.332218647003174,5.01065764287969
16.43909215927124,4.98821588817708
16.545968770980835,5.001645219285398
16.65289068222046,5.008556920376861
16.75977349281311,4.916205999840695
16.866624355316162,4.1813604288022415
16.973470211029053,3.1418816907969496
17.080368280410767,2.058284015239674
17.187366485595703,0.7975008455119346
17.294284343719482,-0.45835659526377803
17.401196718215942,-2.1261192828419477
17.508116722106934,-3.207862059534201
17.615004777908325,-3.4024558961057627
17.72205662727356,-3.6371510526512174
17.829031229019165,-3.8966121051915614
17.93593978881836,-3.940100767792278
18.04306149482727,-3.700183483597183
18.150039196014404,-3.363453001909956
18.256993055343628,-3.021907449797708
18.36397385597229,-2.7237921204439695
18.4709153175354,-2.509415247203175
18.57794952392578,-2.4722273197283355
18.68487238883972,-2.2855902120550056
18.79175591468811,-2.004265281888717
18.898679494857788,-2.029726861463322
19.005858182907104,-2.1302029646978435
19.112764596939087,-2.2315401411361724
19.21968650817871,-2.2630288079527183
19.326598405838013,-2.2096030380772693
19.433483362197876,-2.201789466417689
19.54041624069214,-2.240941874052206
19.649576902389526,-2.2496471698940326
19.756991147994995,-2.260758720346586
19.863844871520996,-2.2456854218608724
19.970784664154053,-2.2009729386602532
