comment,time,phase,baro,latitude,longitude,duty_R,duty_L,theta,cornangle,distance,acc_x,acc_y,acc_z,rotor_steps
threading,0.0015821456909179688,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.0062978267669677734,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.007002592086791992,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.007479190826416016,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.007881879806518555,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.008269786834716797,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.008702993392944336,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.013704538345336914,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.05588197708129883,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.08962535858154297,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.1318497657775879,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.17401409149169922,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.21620512008666992,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.24999141693115234,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.29219865798950195,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.33434176445007324,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.3765287399291992,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.4102931022644043,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.4524824619293213,camera,-1,36.111920166666664,140.09837866666666,-1,-1,-1,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.49463343620300293,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.5199525356292725,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.5452914237976074,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.5621809959411621,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.5874640941619873,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.6127884387969971,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.6381196975708008,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.6635520458221436,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.6887414455413818,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.7140326499938965,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.7393507957458496,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.7587525844573975,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.7815797328948975,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.8068544864654541,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.8321845531463623,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.8575432300567627,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.8828258514404297,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.9081573486328125,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.933443546295166,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.9503839015960693,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,0.9758145809173584,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.000978708267212,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.0262539386749268,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.0515811443328857,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.0774054527282715,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.103562831878662,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.1296827793121338,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.1444239616394043,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.1698253154754639,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.195115327835083,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.2223172187805176,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.2485456466674805,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.2709925174713135,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.2964003086090088,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.321634292602539,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.3406322002410889,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.3638265132904053,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.3891918659210205,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.4146618843078613,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.4397318363189697,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.465071439743042,camera,-1,36.1119195,140.0983785,49,49,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.49041748046875,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.51582670211792,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.5325448513031006,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.557877540588379,camera,-1,36.1119195,140.0983785,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.5831773281097412,camera,-1,36.111918333333335,140.09837633333333,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.6253657341003418,camera,-1,36.111918333333335,140.09837633333333,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.6675522327423096,camera,-1,36.11191783333334,140.09837483333334,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.7013819217681885,camera,-1,36.11191783333334,140.09837483333334,48,48,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.7435076236724854,camera,-1,36.11191783333334,140.09837483333334,50,50,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.7857744693756104,camera,-1,36.11191783333334,140.09837483333334,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.8194711208343506,camera,-1,36.11191733333333,140.09837533333334,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.8616394996643066,camera,-1,36.11191733333333,140.09837533333334,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.8954131603240967,camera,-1,36.11191733333333,140.09837533333334,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.9376425743103027,camera,-1,36.11191733333333,140.09837533333334,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,1.979799509048462,camera,-1,36.11191516666667,140.09837266666668,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.0135350227355957,camera,-1,36.11191516666667,140.09837266666668,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.0557308197021484,camera,-1,36.11191516666667,140.09837266666668,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.097921848297119,camera,-1,36.11191516666667,140.09837266666668,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.1316864490509033,camera,-1,36.11191516666667,140.09837266666668,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.1738479137420654,camera,-1,36.11191516666667,140.09837266666668,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.207613229751587,camera,-1,36.11191516666667,140.09837266666668,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.2497811317443848,camera,-1,36.11191516666667,140.09837266666668,5,5,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.2919809818267822,camera,-1,36.11191516666667,140.09837266666668,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.3257384300231934,camera,-1,36.11191516666667,140.09837266666668,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.3679373264312744,camera,-1,36.11191516666667,140.09837266666668,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.410123348236084,camera,-1,36.11191516666667,140.09837266666668,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.4439539909362793,camera,-1,36.11191516666667,140.09837266666668,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.486065149307251,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.5199062824249268,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.5451440811157227,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.5789263248443604,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.61265230178833,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.6463773250579834,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.671776056289673,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.7054407596588135,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.7392044067382812,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.7729716300964355,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.7982821464538574,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.8320581912994385,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.8658108711242676,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.8995652198791504,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.9249439239501953,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.958693504333496,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,2.992457151412964,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.026167869567871,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.051435708999634,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.0851845741271973,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.1189358234405518,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.1527299880981445,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.178053379058838,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.2118372917175293,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.245511054992676,camera,-1,36.1119105,140.09837383333334,0,0,54.573107878165615,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.2799229621887207,camera,-1,36.1119105,140.09837383333334,-28,28,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.304565906524658,camera,-1,36.1119105,140.09837383333334,-28,28,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.338383674621582,camera,-1,36.1119105,140.09837383333334,-28,28,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.3720946311950684,camera,-1,36.1119105,140.09837383333334,-28,28,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.405829906463623,camera,-1,36.1119105,140.09837383333334,-28,28,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.4311394691467285,camera,-1,36.1119105,140.09837383333334,-28,28,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.464920997619629,camera,-1,36.1119105,140.09837383333334,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.498629331588745,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.532381296157837,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.557811737060547,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.591564893722534,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.625330924987793,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.659022331237793,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.6842901706695557,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.7180683612823486,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.7518622875213623,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.7855422496795654,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.8108811378479004,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.8447585105895996,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.878478765487671,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
threading,3.9121949672698975,camera,-1,36.1119105,140.09837416666667,0,0,65.43795140902554,,-1,-0.13356122573556342,0.3328042973995849,0.05689171041386888,0
