comment,time,phase,baro,latitude,longitude,duty_R,duty_L,theta,cornangle,distance,acc_x,acc_y,acc_z,rotor_steps
threading,0.005235910415649414,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.0058879852294921875,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.006901979446411133,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.00760650634765625,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.00789499282836914,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.008080720901489258,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.008308649063110352,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.013180971145629883,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.05540275573730469,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.08914995193481445,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.13133716583251953,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.17351937294006348,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.21571135520935059,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.2494945526123047,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.2916886806488037,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.3338613510131836,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.3760497570037842,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.409801721572876,land,1025.9809357643871,30.662865833333335,131.05187983333335,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.45205092430114746,land,1025.9809357643871,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.49419569969177246,land,1025.9809357643871,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.5363790988922119,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.5701534748077393,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.6123819351196289,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.6545226573944092,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.6967096328735352,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.7305076122283936,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.7726836204528809,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.8148581981658936,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.8570499420166016,land,1026.007124559349,30.662866333333334,131.05188033333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.8907985687255859,land,1026.007124559349,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.9245762825012207,land,1026.007124559349,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.9584310054779053,land,1026.007124559349,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,0.9920635223388672,land,1026.007124559349,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.0258195400238037,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.0595722198486328,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.0933258533477783,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.1186883449554443,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.152400016784668,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.1861600875854492,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.2198982238769531,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.2536516189575195,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.2874059677124023,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.3211586475372314,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.354914665222168,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.3802316188812256,land,1026.0161252437526,30.662867666666667,131.0518815,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.4140205383300781,land,1026.0161252437526,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.4561800956726074,land,1026.0161252437526,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.4983718395233154,land,1026.0161252437526,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.540564775466919,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.5743274688720703,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.6165833473205566,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.6587021350860596,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.7008976936340332,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.7346861362457275,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.7768726348876953,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.819049596786499,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.8612470626831055,land,1026.0766908921128,30.662867833333333,131.05188133333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.8950037956237793,land,1026.0766908921128,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.937192440032959,land,1026.0766908921128,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,1.9794056415557861,land,1026.0766908921128,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.022020101547241,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.0553476810455322,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.0975425243377686,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.139723300933838,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.1819307804107666,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.215730667114258,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.257863759994507,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.300050735473633,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.342263698577881,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
threading,2.376016855239868,land,1026.0333133712104,30.662869333333333,131.05188283333334,-1,-1,-1,,-1,0.03052130387010133,0.29227200586009033,0.9771700647051642,0
