comment,time,phase,baro,latitude,longitude,duty_R,duty_L,theta,cornangle,distance,acc_x,acc_y,acc_z,rotor_steps
threading,5.04913330078125,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.050074338912964,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.050570011138916,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.0510969161987305,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.051530361175537,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.051997184753418,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.052404165267944,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.052823781967163,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.0533833503723145,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.066011190414429,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.099632501602173,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.1333770751953125,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.167120933532715,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.200894355773926,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.234619140625,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.268349647521973,land,1026.1422652124786,30.662843666666667,131.0518735,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.302091836929321,land,1026.1422652124786,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.344241142272949,land,1026.1422652124786,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.386423349380493,land,1026.1422652124786,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.428604364395142,land,1026.1422652124786,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.462495803833008,land,1026.1422652124786,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.504514455795288,land,1026.1422652124786,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.546701431274414,land,1026.1422652124786,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.588882923126221,land,1026.0814203220614,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.622673988342285,land,1026.0814203220614,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.664801597595215,land,1026.0814203220614,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.706974983215332,land,1026.0814203220614,30.662843833333334,131.05187266666667,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.749150514602661,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.766036748886108,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.791339159011841,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.816653490066528,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.841974973678589,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.858844041824341,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.884119987487793,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.909433364868164,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.934743642807007,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.951617956161499,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,5.976930618286133,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.002233982086182,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.027575492858887,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.04440712928772,land,1026.0814203220614,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.069728136062622,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.0950353145599365,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.12036395072937,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.13723611831665,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.162519454956055,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.187837600708008,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.213144540786743,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.230001926422119,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.255311012268066,land,1026.1333598461504,30.662843,131.0518725,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.280668497085571,land,1026.1333598461504,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.322789192199707,land,1026.1333598461504,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.356539011001587,land,1026.1333598461504,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.398746490478516,land,1026.1333598461504,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.440898180007935,land,1026.1333598461504,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.483085870742798,land,1026.1333598461504,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.516814708709717,land,1026.1333598461504,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.561391115188599,land,1026.1683843719643,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.601276397705078,land,1026.1683843719643,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.643361330032349,land,1026.1683843719643,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.67714524269104,land,1026.1683843719643,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.719281435012817,land,1026.1683843719643,30.662843666666667,131.05187283333333,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.761468887329102,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.795210123062134,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.820573329925537,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.8542540073394775,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.87959098815918,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.913305044174194,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.9470367431640625,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,6.972415208816528,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.0061376094818115,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.039836168289185,land,1026.1683843719643,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.065764665603638,land,1026.0553014272605,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.098894834518433,land,1026.0553014272605,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.124196290969849,land,1026.0553014272605,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.157980918884277,land,1026.0553014272605,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.191679954528809,land,1026.0553014272605,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.2170634269714355,land,1026.0553014272605,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
threading,7.250732660293579,land,1026.0553014272605,30.662845,131.05187466666666,-1,-1,-1,,-1,0.027835429129532414,0.3098522768892687,0.9686240996215358,0
