comment,time,phase,baro,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,0.0016603469848632812,land,-1,36.11142133333333,140.09908233333334,-1,-1,-1,,-1
threading,3.0046794414520264,land,-1,36.1114195,140.09909216666668,-1,-1,-1,,-1
threading,6.005944490432739,land,-1,36.11141683333334,140.099102,-1,-1,-1,,-1
threading,9.009639501571655,land,-1,36.111412333333334,140.099109,-1,-1,-1,,-1
threading,12.010740041732788,land,-1,36.111403,140.09910866666667,-1,-1,-1,,-1
threading,15.014883995056152,land,-1,36.11138916666667,140.09912166666666,-1,-1,-1,,-1
threading,18.018837213516235,land,-1,36.11137983333333,140.09912233333333,-1,-1,-1,,-1
threading,21.02303457260132,land,-1,36.11136883333333,140.09913183333333,-1,-1,-1,,-1
threading,24.02876901626587,land,-1,36.111366833333335,140.099133,-1,-1,-1,,-1
threading,27.033095359802246,land,-1,36.111363833333336,140.09914566666666,-1,-1,-1,,-1
threading,30.033885717391968,land,-1,36.11136466666667,140.09915033333334,-1,-1,-1,,-1
threading,33.03767657279968,land,-1,36.1113625,140.099156,-1,-1,-1,,-1
threading,36.04143047332764,land,-1,36.11134666666667,140.09916133333334,-1,-1,-1,,-1
threading,39.044461488723755,land,-1,36.11134083333334,140.09916716666666,-1,-1,-1,,-1
threading,42.04593276977539,land,-1,36.111344333333335,140.09917466666667,-1,-1,-1,,-1
threading,45.04726481437683,land,-1,36.11134966666667,140.09917766666666,-1,-1,-1,,-1
threading,48.04981088638306,land,-1,36.111353,140.0991865,-1,-1,-1,,-1
threading,51.053136110305786,land,-1,36.11136366666667,140.099181,-1,-1,-1,,-1
threading,54.05691432952881,land,-1,36.111367666666666,140.09918733333333,-1,-1,-1,,-1
threading,57.06095099449158,land,-1,36.11136916666667,140.09919483333334,-1,-1,-1,,-1
threading,60.064515352249146,land,-1,36.1113665,140.09919633333334,-1,-1,-1,,-1
threading,63.066659688949585,land,-1,36.1113665,140.0991875,-1,-1,-1,,-1
threading,66.07032418251038,land,-1,36.11136466666667,140.09918133333332,-1,-1,-1,,-1
threading,69.07444357872009,land,-1,36.11136483333333,140.0991775,-1,-1,-1,,-1
threading,72.0755820274353,land,-1,36.11136416666667,140.0991685,-1,-1,-1,,-1
threading,75.07972574234009,land,-1,36.11136333333334,140.09916766666666,-1,-1,-1,,-1
threading,78.08131957054138,land,-1,36.11136416666667,140.0991595,-1,-1,-1,,-1
threading,81.08334684371948,land,-1,36.111360833333336,140.09916316666667,-1,-1,-1,,-1
threading,84.08716773986816,land,-1,36.11135383333333,140.09917166666668,-1,-1,-1,,-1
threading,87.09088659286499,land,-1,36.111346833333336,140.09917933333332,-1,-1,-1,,-1
threading,90.09420084953308,land,-1,36.111337,140.09917916666666,-1,-1,-1,,-1
threading,93.09536552429199,land,-1,36.11132633333333,140.09918833333333,-1,-1,-1,,-1
threading,96.09923195838928,land,-1,36.111321833333335,140.09918283333334,-1,-1,-1,,-1
threading,99.10300755500793,land,-1,36.11131866666667,140.09918683333333,-1,-1,-1,,-1
threading,102.106858253479,land,-1,36.1113115,140.09918716666667,-1,-1,-1,,-1
threading,105.10816597938538,land,-1,36.111313,140.099197,-1,-1,-1,,-1
threading,108.11192846298218,land,-1,36.111314,140.099198,-1,-1,-1,,-1
threading,111.11503076553345,land,-1,36.111317,140.09919833333333,-1,-1,-1,,-1
threading,114.11906719207764,land,-1,36.11132116666667,140.0992075,-1,-1,-1,,-1
threading,117.12320280075073,land,-1,36.11131566666667,140.09920866666667,-1,-1,-1,,-1
threading,120.12465071678162,land,-1,36.111312,140.09919866666667,-1,-1,-1,,-1
threading,123.12848162651062,land,-1,36.111307833333335,140.09918716666667,-1,-1,-1,,-1
threading,126.13205695152283,land,-1,36.111304833333335,140.09918733333333,-1,-1,-1,,-1
threading,129.13285303115845,land,-1,36.1112975,140.0991905,-1,-1,-1,,-1
threading,132.13678884506226,land,-1,36.111293833333335,140.09918016666666,-1,-1,-1,,-1
threading,135.1392412185669,land,-1,36.11129116666667,140.09917683333333,-1,-1,-1,,-1
threading,138.14128756523132,land,-1,36.11128683333333,140.099178,-1,-1,-1,,-1
threading,141.14517498016357,land,-1,36.11128883333333,140.09915766666666,-1,-1,-1,,-1
threading,144.1482994556427,land,-1,36.111284,140.09915116666667,-1,-1,-1,,-1
threading,147.14954710006714,land,-1,36.1112825,140.099147,-1,-1,-1,,-1
threading,150.1526517868042,land,-1,36.111282333333335,140.09914033333334,-1,-1,-1,,-1
threading,153.15525460243225,land,-1,36.111283666666665,140.0991355,-1,-1,-1,,-1
threading,156.15638327598572,land,-1,36.1112855,140.09912683333334,-1,-1,-1,,-1
threading,159.15879106521606,land,-1,36.111287833333336,140.0991255,-1,-1,-1,,-1
threading,162.16186833381653,land,-1,36.11129183333333,140.099126,-1,-1,-1,,-1
threading,165.16494369506836,land,-1,36.11129733333333,140.09912116666666,-1,-1,-1,,-1
threading,168.16879844665527,land,-1,36.11130033333333,140.09911683333334,-1,-1,-1,,-1
threading,171.17110443115234,land,-1,36.11130416666666,140.09911066666666,-1,-1,-1,,-1
threading,174.17281913757324,land,-1,36.11130766666667,140.09910366666668,-1,-1,-1,,-1
threading,177.17401504516602,land,-1,36.111308,140.09910333333335,-1,-1,-1,,-1
threading,180.17687797546387,land,-1,36.111299333333335,140.0991005,-1,-1,-1,,-1
threading,183.18067073822021,land,-1,36.11129583333334,140.09910433333334,-1,-1,-1,,-1
threading,186.18442106246948,land,-1,36.111291333333334,140.09911316666665,-1,-1,-1,,-1
threading,189.18605732917786,land,-1,36.11128566666667,140.09911816666667,-1,-1,-1,,-1
threading,192.18974018096924,land,-1,36.11127966666667,140.09912283333333,-1,-1,-1,,-1
threading,195.1911027431488,land,-1,36.1112755,140.09912633333334,-1,-1,-1,,-1
threading,198.19236278533936,land,-1,36.111274,140.09912666666668,-1,-1,-1,,-1
