comment,time,phase,baro,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,0.0010974407196044922,land,-1,36.111573166666666,140.0990005,-1,-1,-1,,-1
threading,3.004906415939331,land,-1,36.111574166666664,140.0990005,-1,-1,-1,,-1
threading,6.008229970932007,land,-1,36.1115745,140.09900033333332,-1,-1,-1,,-1
threading,9.011609554290771,land,-1,36.111575333333334,140.09900033333332,-1,-1,-1,,-1
threading,12.01377558708191,land,-1,36.11157583333333,140.09900016666666,-1,-1,-1,,-1
threading,15.017504215240479,land,-1,36.11157516666667,140.09900083333332,-1,-1,-1,,-1
threading,18.02075719833374,land,-1,36.111574166666664,140.0990015,-1,-1,-1,,-1
threading,21.023144006729126,land,-1,36.111574166666664,140.0990015,-1,-1,-1,,-1
threading,24.02630853652954,land,-1,36.11157466666667,140.09900133333332,-1,-1,-1,,-1
threading,27.029674768447876,land,-1,36.11157433333333,140.09900166666668,-1,-1,-1,,-1
threading,30.033080101013184,land,-1,36.11157433333333,140.09900166666668,-1,-1,-1,,-1
threading,33.036556243896484,land,-1,36.11157333333333,140.0990025,-1,-1,-1,,-1
threading,36.03979802131653,land,-1,36.1115725,140.099003,-1,-1,-1,,-1
threading,39.043118476867676,land,-1,36.11157216666667,140.0990035,-1,-1,-1,,-1
threading,42.04400181770325,land,-1,36.11157166666667,140.09900416666667,-1,-1,-1,,-1
threading,45.047473669052124,land,-1,36.11157033333333,140.09900533333334,-1,-1,-1,,-1
threading,48.050830602645874,land,-1,36.11157,140.09900583333334,-1,-1,-1,,-1
threading,51.054081439971924,land,-1,36.11157016666667,140.09900583333334,-1,-1,-1,,-1
threading,54.05741572380066,land,-1,36.11157,140.09900583333334,-1,-1,-1,,-1
threading,57.06066918373108,land,-1,36.111569833333334,140.09900566666667,-1,-1,-1,,-1
threading,60.06403684616089,land,-1,36.11156866666666,140.09900666666667,-1,-1,-1,,-1
threading,63.06747007369995,land,-1,36.111568,140.09900733333333,-1,-1,-1,,-1
threading,66.07041621208191,land,-1,36.11156716666667,140.0990075,-1,-1,-1,,-1
threading,69.07378911972046,land,-1,36.1115665,140.09900783333333,-1,-1,-1,,-1
